rollout/success_rate,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,time/total_timesteps,rollout/all_actual_path_length_mean,reward/distance,rollout/n_episodes,reward/collision,rollout/workspace_violation_rate,rollout/max_steps_rate,reward/smooth_action,rollout/action_norm_mean,train/learning_rate,reward/z_guard,rollout/distance_improvement_mean,rollout/all_expected_path_length_mean,train/actor_loss,reward/shake,reward/time,train/ent_coef_loss,reward/episode,reward/path_curvature,train/ent_coef,rollout/collision_rate,reward/success,rollout/reward_steps,train/critic_loss,reward/workspace,train/n_updates,reward/total,rollout/success_path_efficiency_percent_mean,rollout/success_actual_path_length_mean,rollout/success_expected_path_length_mean
0.02,14058,0,18.54,-300.63143814,50,2772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,14052,0,42.34,-327.94452981,100,6412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,14200,0,61.95,-342.15524703999995,150,8848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,7535,1,64.94,-352.59935626000004,200,12712,0.6453362135696807,-0.2220668830088715,5,-1.791044776119403,0.6,0.0,-0.0995910434566675,0.9631884026021432,0.0003,-0.1195039179800877,0.00474364310503006,0.17820604592561723,2.0018086433410645,-0.002492537313432838,0.0,-0.14191597700119019,0.0,-0.0019918208051207774,0.9719148278236389,0.4,0.0,3685,1738.9407958984375,-2.6865671641791047,96,-4.923258142862689,,,
0.03,5797,2,69.28,-397.52468258999994,250,16128,0.48859464593770097,-0.25450499276437705,10,-1.183431952662722,0.8,0.0,-0.09761218217924277,0.9636975485093054,0.0003,-0.0789621548783617,-0.008706384152173997,0.20024445727467538,3.9262661933898926,-0.002455621301775139,0.0,-0.31759247183799744,0.0,-0.0019522435955437573,0.9373686909675598,0.2,0.0,5577,704.135498046875,-4.733727810650888,218,-6.352646958032919,,,
0.03,4877,4,73.34,-386.35759089,300,20944,,,,,,,,,0.0003,,,,5.234230041503906,,,-0.5205089449882507,,,0.8916938304901123,,,,20.81173324584961,,390,,,,
0.01,4267,6,99.19,-326.25970666999996,350,26348,,,,,,,,,0.0003,,,,6.124765396118164,,,-0.6372308135032654,,,0.8469327092170715,,,,678.6939086914062,,583,,,,
0.01,3738,9,120.78,-272.66592534999995,400,34748,0.591143180213112,-0.2713254972309288,15,-1.6666666666666667,0.5333333333333333,0.06666666666666667,-0.074177429713272,0.8210322139655344,0.0003,-0.037068344929008686,0.005236297845840454,0.18918212205171586,7.724557876586914,-0.0023564814814814516,0.0,-0.7491371035575867,-0.046296296296296294,-0.0014835485452825406,0.7895359992980957,0.4,0.0,11880,1313.5537109375,-2.2222222222222223,883,-4.3215964870851655,,,
0.01,3296,13,180.9,-205.32375787000004,450,45360,,,,,,,,,0.0003,,,,8.860373497009277,,,-0.967782735824585,,,0.722291886806488,,,,338.0893249511719,,1262,,,,
0.0,1566,38,257.63,-154.98353538,500,60592,,,,,,,,,0.0003,,,,9.687597274780273,,,-1.4873768091201782,,,0.6264635920524597,,,,1529.348388671875,,1806,,,,
0.0,1669,44,279.4,-143.5763615,550,74900,0.7183767742102646,-0.272171955551637,20,-0.911062906724512,0.4,0.25,-0.046159044355282515,0.623320425726441,0.0003,-0.017368248383223157,-0.00030194222927093506,0.1872773326933384,10.491565704345703,-0.002414316702819915,0.0,-1.8470368385314941,-0.10845986984815618,-0.0009231808694000897,0.5433386564254761,0.35,0.0,25355,295.56219482421875,-1.0412147505422993,2317,-2.3997742729773295,,,
0.01,1736,50,282.13,-142.76720339,600,87304,,,,,,,,,0.0003,,,,10.392746925354004,,,-2.4438676834106445,,,0.47864830493927,,,,20.81689453125,,2760,,,,
0.01,1380,74,282.06,-144.52652465,650,102788,,,,,,,,,0.0003,,,,10.393950462341309,,,-2.89652943611145,,,0.4076712429523468,,,,18.417327880859375,,3313,,,,
0.0,1450,79,273.16,-151.44252511000002,700,114940,0.8659621531623998,-0.2633023103921822,25,-0.5519053876478318,0.32,0.4,-0.038158331707050644,0.5689633199372347,0.0003,-0.010521369914147012,-0.00301024466753006,0.18107680171728135,10.156024932861328,-0.002441524310118279,0.0,-2.8137383460998535,-0.1314060446780552,-0.0007631666142198693,0.3589361608028412,0.28,0.0,41855,275.63232421875,-0.6307490144546649,3747,-1.6292471497182681,,,
0.0,1529,84,267.28,-155.96059963,750,128688,,,,,,,,,0.0003,,,,9.868010520935059,,,-3.3060216903686523,,,0.3112877607345581,,,,16.854724884033203,,4238,,,,
0.0,1610,89,282.23,-148.29469851,800,144368,,,,,,,,,0.0003,,,,9.513195037841797,,,-3.722715377807617,,,0.2651806175708771,,,,302.42181396484375,,4798,,,,
0.0,1386,114,285.13,-147.25267833,850,158256,0.9810930662237903,-0.2648644331442394,30,-0.39585296889726673,0.26666666666666666,0.5,-0.03573292490434073,0.554812302865425,0.0003,-0.00754643025887453,-0.0006171392897764842,0.18436282401283582,10.279424667358398,-0.002480678605089662,0.0,-3.588837146759033,-0.1413760603204524,-0.0007146584746737473,0.23106025159358978,0.23333333333333334,0.0,58355,603.5167236328125,-0.4524033930254477,5294,-1.3009715476303878,,,
0.01,1441,118,282.11,-145.13512808,900,171108,,,,,,,,,0.0003,,,,11.197141647338867,,,-4.523927211761475,,,0.20492753386497498,,,,25.724153518676758,,5753,,,,
0.01,1501,124,278.55,-150.68273804999998,950,186424,,,,,,,,,0.0003,,,,10.87746810913086,,,-4.178732872009277,,,0.176078200340271,,,,266.541748046875,,6300,,,,
0.0,1542,128,266.57,-160.04365131999998,1000,197848,1.053100237196486,-0.2666043089173083,35,-0.3085966201322557,0.22857142857142856,0.5714285714285714,-0.03363887624532508,0.5416386357417589,0.0003,-0.005882999636051342,-0.0041401122297559465,0.18135194842304503,10.936505317687988,-0.0024717119764880143,0.0,-4.180560111999512,-0.14695077149155034,-0.0006727775081364663,0.15738295018672943,0.2,0.0,74855,25.67337417602539,-0.3526818515797208,6708,-1.1174999174868394,,,
0.0,1396,152,267.22,-157.15028154,1050,212296,,,,,,,,,0.0003,,,,11.60169792175293,,,-4.464346885681152,,,0.13655701279640198,,,,13.728992462158203,,7224,,,,
0.0,1440,156,273.26,-155.85493850999998,1100,226184,,,,,,,,,0.0003,,,,11.476873397827148,,,-3.8513906002044678,,,0.12149360030889511,,,,2.1974639892578125,,7720,,,,
